GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Silamoney SDK,com.silamoney.client.util,ResponseUtil,20,160,8,19,3,32,7,9,0,1
Silamoney SDK,com.silamoney.client.util,GsonUtils,37,0,0,0,15,0,3,0,3,0
Silamoney SDK,com.silamoney.client.util,ResponseUtil.new TypeToken() {...},0,3,0,0,0,1,0,1,0,1
Silamoney SDK,com.silamoney.client.util,Serialization,0,20,0,0,0,4,0,4,0,4
Silamoney SDK,com.silamoney.client.config,Configuration,37,33,0,0,16,11,9,4,9,4
Silamoney SDK,com.silamoney.client.exceptions,ServerSideException,5,0,0,0,2,0,1,0,1,0
Silamoney SDK,com.silamoney.client.exceptions,InvalidSignatureException,5,0,0,0,2,0,1,0,1,0
Silamoney SDK,com.silamoney.client.exceptions,ForbiddenException,5,0,0,0,2,0,1,0,1,0
Silamoney SDK,com.silamoney.client.exceptions,BadRequestException,5,0,0,0,2,0,1,0,1,0
Silamoney SDK,com.silamoney.client.domain,Message.ValueEnum,0,180,0,0,0,20,0,3,0,3
Silamoney SDK,com.silamoney.client.domain,EntityMsg,0,45,0,0,0,9,0,1,0,1
Silamoney SDK,com.silamoney.client.domain,GetTransactionsMsg,0,17,0,0,0,5,0,1,0,1
Silamoney SDK,com.silamoney.client.domain,TransferMsg,0,23,0,0,0,7,0,1,0,1
Silamoney SDK,com.silamoney.client.domain,GetAccountsMsg,0,14,0,0,0,4,0,1,0,1
Silamoney SDK,com.silamoney.client.domain,Environments.SilaEnvironment,0,37,0,0,0,7,0,3,0,3
Silamoney SDK,com.silamoney.client.domain,LinkAccountMsg,0,29,0,0,0,9,0,1,0,1
Silamoney SDK,com.silamoney.client.domain,GetWalletMsg,0,10,0,0,0,3,0,1,0,1
Silamoney SDK,com.silamoney.client.domain,IssueMsg,0,20,0,0,0,6,0,1,0,1
